codePostaleAdresse;adresseAdresse;communeAdresse
75004;1 rue du Cloître Notre-Dame;Paris
75005;61 boulevard Saint-Michel;Paris
75003;1 rue Vaucanson;Paris
75005;43 quai de la Tournelle;
75006;2 rue Guynemer;Paris
75005;26 boulevard Saint-Marcel;Paris
75005;22 rue d'Ulm;Paris
75015;4 avenue de la Porte de Sèvres;Paris
75005;1 rue Saint-Séverin;Paris
75019;72 avenue Secrétan;Paris
75005;53 boulevard Saint-Germain;Paris
75013;33 rue des Terres au Curé;Paris
75001;22 rue des Bourdonnais;Paris
75006;2w rue de Médicis;Paris
75011;45 rue du Faubourg Saint-Antoine;Paris
75004;3v place Saint-Gervais;Paris
75020;22 rue Cristino Garcia;Paris
75005;92 boulevard de Port Royal;Paris
75005;1 boulevard Saint-Michel;Paris
75004;1 rue de Lutèce;Paris
75004;24 rue des Archives;Paris
75006;57 rue Saint-André des Arts;Paris
75004;1 rue du Marché des Blancs Manteaux;Paris
75006;168 boulevard Saint-Germain;Paris
75015;149 rue de Sèvres;Paris
75004;19 rue de la Verrerie;Paris
75007;26 boulevard Raspail;Paris
75006;1 rue de l'École de Médecine;
75008;1 place de la Concorde;Paris
75016;47 rue Raynouard;Paris
75007;20 boulevard de la Tour Maubourg;Paris
75018;14B avenue Rachel;Paris
75005;1 rue de Valence;Paris
75005;1 rue Laplace;Paris
75005;52 rue Mouffetard;Paris
75006;2W rue de Medicis;Paris
75005;91 boulevard Saint-Michel;Paris
75005;1v place Jussieu;Paris
75006;53 ter quai des Grands-Augustins;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75003;3 rue Gabriel Vicaire;Paris
75004;50 rue de Rivoli;Paris
75005;123 rue Saint-Jacques;Paris
75006;23 rue de l'Échaudé;Paris
75003;19 rue Charlot;Paris
75005;80 boulevard Saint-Marcel;Paris
75007;92 rue Saint-Dominique;Paris
75015;8 rue du Hameau;Paris
75005;1 rue des Prêtres Saint-Séverin;Paris
75005;6 rue de la Collégiale;
75005;5 rue Descartes;Paris
75005;23 rue Clovis;Paris
75006;24 rue de Vaugirard;Paris
75004;6 rue d'Arcole;Paris
75006;110 rue de Vaugirard;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75005;4 rue Tournefort;Paris
75015;2 place Jacques Marette;Paris
75005;19 rue Valette;Paris
75013;1 boulevard Arago;Paris
75014;11 rue Cassini;Paris
75005;23 rue Clovis;Paris
75005;2 rue des Ecoles;Paris
75005;1 rue des Fossés-Saint-Marcel;Paris
75018;3 rue du Mont Cenis;Paris
75008;52 avenue des Champs-Élysées;Paris
75006;14 rue Bonaparte;Paris
75001;6 rue Saint-Germain l'Auxerrois;Paris
75013;3 boulevard Arago;Paris
75005;1 boulevard Saint-Michel;Paris
75005;1 place Jussieu;Paris
75003;11 rue Dupetit-Thouars;Paris
75001;1 rue des Halles;Paris
75005;11 rue Victor Cousin;Paris
75006;15 rue de l'École de Médecine;Paris
75005;23 rue Clovis;Paris
75004;4 rue Saint-Paul;Paris
75005;6 place du Panthéon;Paris
75005;10 place du Panthéon;Paris
75005;15 rue des Carmes;Paris
75005;2 rue Valette;Paris
75006;154 boulevard Saint-Germain;Paris
75005;66 boulevard Saint-Marcel;Paris
75018;3 rue Pierre-Budin;Paris
75004;4 rue de la Cité;Paris
75009;63 rue de Caumartin;Paris
75010;180 rue la Fayette;Paris
75003;1 rue des Haudriettes;Paris
75006;2W rue de Medicis;Paris
75006;10 rue Férou;Paris
75005;2 place Marcelin Berthelot;Paris
75019;134 avenue de Flandre;Paris
75005;63 boulevard Saint-Michel;Paris
75005;95 boulevard Saint-Michel;Paris
75004;4 rue de Lobau;Paris
75004;19 rue Chanoinesse;Paris
75011;87 rue Léon Frot;Paris
75005;26 rue d'Ulm;Paris
75004;14 rue Charlemagne;Paris
75009;18 rue de la Chaussée d Antin;Paris
75005;77 rue du Cardinal Lemoine;Paris
75004;5 rue Sainte-Croix de la Bretonnerie;Paris
75014;11 rue d'Alésia;Paris
75005;2 place Sainte-Geneviève;Paris
75004;19 rue Chanoinesse;Paris
75005;54 rue Saint-Jacques;
75001;9 avenue du Général Lemonnier;Paris
75020;1 rue des Fougères;Paris
75005;1 rue Saint-Jacques;Paris
75004;47 rue Vieille du Temple;Paris
75001;140 rue de Rivoli;Paris
75004;1 rue de Sully;Paris
75004;1 rue Saint-Martin;Paris
75006;4 rue Lobineau;Paris
75003;71 rue du Temple;Paris
75006;22 rue Cassette;Paris
75014;108 rue du Château;Paris
75005;79 rue Galande;Paris
75005;5 rue Cujas;Paris
75005;66 rue de la Montagne-Sainte-Geneviève;Paris
75001;28 rue de l'Arbre Sec;Paris
75013;12 rue Saint-Hippolyte;Paris
75018;57 rue de la Chapelle;Paris
75006;2w rue de Médicis;Paris
75005;6 rue Toullier;Paris
75002;28 place de la Bourse;Paris
