9999;Diagnostic;220
1901;Découverte ancienne;221
1898;Découverte ancienne;222
1894;Découverte ancienne;223
1921;Découverte ancienne;224
1868;Découverte ancienne;225
1900;Découverte ancienne;226
1867;Découverte ancienne;227
1895;Découverte ancienne;228
1905;Découverte ancienne;229
1911;Découverte ancienne;230
1928;;231
2014;Sondage;232
1911;Découverte ancienne;233
1880;Découverte ancienne;234
1912;Découverte ancienne;235
1927;Découverte ancienne;236
1912;Découverte ancienne;237
1898;Découverte ancienne;238
1927;Découverte ancienne;239
2016;Fouille;240
1935;Découverte ancienne;241
1924;Découverte ancienne;242
9999;Suivi de travaux;243
1855;Découverte ancienne;244
1933;Découverte ancienne;245
1894;Découverte ancienne;246
9999; 1923 ;247
1900;Découverte ancienne;248
1924;Découverte ancienne;249
1845;Découverte ancienne;250
1940;;251
1897;Découverte ancienne;252
1934;;253
9999;Découverte ancienne;254
1961;Suivi de travaux;255
1861;Découverte ancienne;256
1964;Découverte ancienne;257
9999;Découverte ancienne;258
1956;;259
1954;Découverte ancienne;260
1960;;261
1957;Suivi de travaux;262
1960;;263
1963;Découverte ancienne;264
9999;;265
1994;Sondage;266
1995;Diagnostic;267
1988;Suivi de travaux;268
1988;Découverte fortuite;269
1909;Découverte ancienne;270
9999;Découverte ancienne;271
2010;Diagnostic;272
1993;Diagnostic;273
1897;Découverte ancienne;274
2016;Diagnostic;275
2009;Fouille;276
1960;;277
1924;Découverte ancienne;278
1989;Sondage;279
2007;Suivi de travaux;280
2015;Fouille;281
1995;Diagnostic;282
1906;Découverte ancienne;283
1873;Découverte ancienne;284
1873;Découverte ancienne;285
1841;Découverte ancienne;286
1844;Découverte ancienne;287
2015;Diagnostic;288
2015;Suivi de travaux;289
9999;Découverte ancienne;290
1902;Découverte ancienne;291
1874;Découverte ancienne;292
9999;Découverte ancienne;293
1806;Découverte ancienne;294
1853;Découverte ancienne;295
1996;Diagnostic;296
2007;Sondage;297
2009;Suivi de travaux;298
1915;Découverte ancienne;299
1862;Découverte ancienne;300
1846;Découverte ancienne;301
9999;Découverte ancienne;302
1980;Sondage;303
9999;Découverte ancienne;304
1758;Découverte ancienne;305
1886;Découverte ancienne;306
2008;Diagnostic;307
2003;Diagnostic;308
1865;Découverte ancienne;309
1717;Découverte ancienne;310
1800;Découverte ancienne;311
1873;Découverte ancienne;312
1844;Découverte ancienne;313
9999;Découverte ancienne;314
2016;Diagnostic;315
1898;Découverte ancienne;316
1877;Découverte ancienne;317
1875;Découverte ancienne;318
2015;Suivi de travaux;319
1898;Découverte ancienne;320
1911;Découverte ancienne;321
2016;Diagnostic;322
9999;Découverte ancienne;323
1993;Diagnostic;324
1912;Découverte ancienne;325
1849;Découverte ancienne;326
2002;Diagnostic;327
2006;Étude documentaire;328
1872;Découverte ancienne;329
1880;Découverte ancienne;330
9999;Découverte ancienne;331
1912;Découverte ancienne;332
9999;Découverte ancienne;333
1927;Découverte ancienne;334
1922;Découverte ancienne;335
1922;;336
1924;Étude documentaire;337
1904;Découverte ancienne;338
1920;Découverte ancienne;339
1967;;340
1956;Fouille;341
1978;Suivi de travaux;342
1960;Suivi de travaux;343
1975;Découverte ancienne;344
1977;Suivi de travaux;345
9999;;346
1976;Sauvetage urgent;347
1980;Suivi de travaux;348
1986;Sauvetage urgent;349
1988;;350
9999;Sauvetage urgent;351
2000;Sauvetage urgent;352
1907;;353
2015;Diagnostic;354
2008;Diagnostic;355
2004;Sauvetage urgent;356
1922;Découverte ancienne;357
1925;Découverte ancienne;358
1992;Suivi de travaux;359
2007;Suivi de travaux;360
1876;Découverte ancienne;361
2019;Diagnostic;362
1844;Découverte ancienne;363
1897;Découverte ancienne;364
1899;Découverte ancienne;365
1994;Diagnostic;366
9999;Découverte ancienne;367
1921;;368
2020;Diagnostic;369
1904;Découverte ancienne;370
1986;Sauvetage urgent;371
1884;Découverte ancienne;372
1926;Découverte ancienne;373
2000;Suivi de travaux;374
1997;Diagnostic;375
1995;Sondage;376
1848;Découverte ancienne;377
1898;Découverte ancienne;378
9999;Découverte ancienne;379
1994;Étude documentaire;380
1885;Découverte ancienne;381
9999;Découverte ancienne;382
9999;Découverte ancienne;383
1868;Découverte ancienne;384
1844;Découverte ancienne;385
1756;Découverte ancienne;386
1896;Découverte ancienne;387
1883;Découverte ancienne;388
2001;Suivi de travaux;389
2006;Diagnostic;390
2016;Suivi de travaux;391
1737;Découverte ancienne;392
1753;Découverte ancienne;393
1872;Découverte ancienne;394
1901;Découverte ancienne;395
1784;Découverte ancienne;396
1883;Découverte ancienne;397
2019;Fouille;398
1874;Découverte ancienne;399
1878;Découverte ancienne;400
1901;Découverte ancienne;401
1847;Découverte ancienne;402
1893;Découverte ancienne;403
1913;Découverte ancienne;404
1912;Découverte ancienne;405
1925;;406
1933;Découverte ancienne;407
1933;Découverte ancienne;408
1923;Découverte ancienne;409
1925;Découverte ancienne;410
9999;Découverte ancienne;411
1928;Découverte ancienne;412
1961;;413
1852;Découverte ancienne;414
1937;Découverte ancienne;415
1937;Découverte ancienne;416
1958;;417
1959;;418
1908;Découverte ancienne;419
1981;Sauvetage urgent;420
9999;Sondage;421
1978;;422
9999;Fouille;423
1958;Découverte ancienne;424
9999;;425
9999;" 1995""";426
1988;Sauvetage urgent;427
1986;Sondage;428
1906;Découverte ancienne;429
2012;Diagnostic;430
1903;Fouille;431
1866;Découverte ancienne;432
1854;Découverte ancienne;433
9999;Découverte ancienne;434
1996;Suivi de travaux;435
1924;Découverte ancienne;436
2015;Sondage;437
2005;Autres études;438
1911;Découverte ancienne;439
1935;Découverte ancienne;440
1991;Fouille;441
1630;Découverte ancienne;442
1992;Fouille;443
1855;Découverte ancienne;444
1887;Découverte ancienne;445
2005;Diagnostic;446
1888;Découverte ancienne;447
2018;Diagnostic;448
1902;Découverte ancienne;449
1887;Découverte ancienne;450
2013;Découverte fortuite;451
9999;Découverte ancienne;452
1913;Suivi de travaux;453
1913;Découverte ancienne;454
1913;Découverte ancienne;455
1901;Découverte ancienne;456
1912;Découverte ancienne;457
1935;Découverte ancienne;458
1937;Découverte ancienne;459
1884;Découverte ancienne;460
1926;Découverte ancienne;461
1857;Découverte ancienne;462
1930;;463
2009;Étude documentaire;464
1962;Découverte ancienne;465
2009;Suivi de travaux;466
9999;Découverte ancienne;467
9999;Découverte ancienne;468
1962;Sauvetage urgent;469
1863;Découverte ancienne;470
1962;Découverte ancienne;471
2017;Diagnostic;472
9999;Autres études;473
1867;Découverte ancienne;474
1978;;475
9999;Découverte ancienne;476
1977;Découverte fortuite;477
2019;Diagnostic;478
9999;Découverte ancienne;479
2005;Diagnostic;480
9999;Découverte ancienne;481
1895;Découverte ancienne;482
1997;Diagnostic;483
1916;Découverte ancienne;484
2014;Suivi de travaux;485
1883;Découverte ancienne;486
9999;Découverte ancienne;487
1844;Découverte ancienne;488
1997;Sauvetage urgent;489
1862;Découverte ancienne;490
1999;Évaluation archéologique;491
9999;Découverte ancienne;492
2015;Diagnostic;493
1909;Découverte ancienne;494
1992;Sondage;495
9999;Découverte ancienne;496
1881;Découverte ancienne;497
1882;Découverte ancienne;498
1825;Découverte ancienne;499
1898;Découverte ancienne;500
1893;Découverte ancienne;501
1994;Sauvetage urgent;502
1922;Découverte ancienne;503
9999;Découverte ancienne;504
1903;Découverte ancienne;505
1913;Découverte ancienne;506
9999;Découverte ancienne;507
1925;Découverte ancienne;508
9999;Découverte ancienne;509
9999;Découverte ancienne;510
1998;Diagnostic;511
1922;Découverte ancienne;512
1997;Diagnostic;513
1868;Découverte ancienne;514
1925;Découverte ancienne;515
1877;Découverte ancienne;516
9999;Découverte ancienne;517
1927;Découverte ancienne;518
2000;Diagnostic;519
1891;Découverte ancienne;520
2014;Diagnostic;521
1913;Découverte ancienne;522
1883;Découverte ancienne;523
1927;Découverte ancienne;524
1913;Découverte ancienne;525
1925;Découverte ancienne;526
9999;Découverte ancienne;527
1913;Découverte ancienne;528
1926;Découverte ancienne;529
9999;Découverte ancienne;530
1929;Découverte ancienne;531
1923;Découverte ancienne;532
1956;Découverte ancienne;533
1901;Découverte ancienne;534
9999;Découverte ancienne;535
1914;Découverte ancienne;536
2017;Diagnostic;537
1920;Découverte ancienne;538
9999;Découverte ancienne;539
1922;Découverte ancienne;540
9999;Découverte ancienne;541
9999;Découverte ancienne;542
1908;Découverte ancienne;543
1931;Découverte ancienne;544
1700;Découverte ancienne;545
1962;Suivi de travaux;546
1999;Diagnostic;547
1966;;548
1912;Découverte ancienne;549
1935;;550
1913;Découverte ancienne;551
9999;Sauvetage urgent;552
1839;Découverte ancienne;553
1966;Sauvetage urgent;554
1891;Découverte ancienne;555
1972;Sauvetage urgent;556
1907;Découverte ancienne;557
1969;;558
9999; 1867 ;559
1987;Suivi de travaux;560
9999;Découverte ancienne;561
1994;Diagnostic;562
1675;Découverte ancienne;563
1985;Sauvetage urgent;564
1915;Étude documentaire;565
9999;Fouille;566
1896;Découverte ancienne;567
1935;Découverte ancienne;568
1903;Découverte ancienne;569
9999;Découverte ancienne;570
1925;;571
1886;Découverte ancienne;572
1862;Découverte ancienne;573
1926;Découverte ancienne;574
9999;Découverte ancienne;575
1832;Découverte ancienne;576
1924;Découverte ancienne;577
1999;Diagnostic;578
1899;Suivi de travaux;579
1912;Découverte ancienne;580
1879;Découverte ancienne;581
1900;Découverte ancienne;582
1909;Découverte ancienne;583
1899;Découverte ancienne;584
9999;Sondage;585
1928;;586
1904;Découverte ancienne;587
1996;Diagnostic;588
9999;Fouille;589
1843;Découverte ancienne;590
1979;Suivi de travaux;591
1952;Découverte ancienne;592
1847;Découverte ancienne;593
1989;SP;594
1937;Découverte ancienne;595
1884;Découverte ancienne;596
9999;Sauvetage urgent;597
1885;Découverte ancienne;598
1956;Suivi de travaux;599
1899;Découverte ancienne;600
1963;Découverte ancienne;601
1996;Diagnostic;602
1979;;603
1927;Découverte ancienne;604
1981;Sauvetage urgent;605
2014;Diagnostic;606
1975;;607
1860;Découverte ancienne;608
1975;Sauvetage urgent;609
2004;Diagnostic;610
1974;Sauvetage urgent;611
2016;Suivi de travaux;612
1970;;613
1991;;614
1993;Sondage;615
2009;Diagnostic;616
1979;Fouille;617
1907;;618
1976;;619
1996;Diagnostic;620
1982;;621
1999;Diagnostic;622
2011;Diagnostic;623
1898;Découverte ancienne;624
1893;Découverte ancienne;625
1858;Découverte ancienne;626
1881;Découverte ancienne;627
1911;;628
2003;Fouille;629
1885;Découverte ancienne;630
1990;;631
1990;Sondage;632
1960;;633
1994;Sauvetage urgent;634
1898;Découverte ancienne;635
1870;Découverte ancienne;636
1867;Découverte ancienne;637
1844;Découverte ancienne;638
9999;Découverte ancienne;639
1840;Découverte ancienne;640
1944;Découverte ancienne;641
1882;Découverte ancienne;642
1999;Diagnostic;643
1867;Découverte ancienne;644
2019;Diagnostic;645
2005;Diagnostic;646
1995;Diagnostic;647
9999;Fouille;648
1997;Fouille;649
2012;Sondage;650
1995;Diagnostic;651
1914;Suivi de travaux;652
9999;Découverte ancienne;653
1924;;654
1898;Découverte ancienne;655
1911;Découverte ancienne;656
1899;Découverte ancienne;657
1902;Découverte ancienne;658
1868;Découverte ancienne;659
9999;Découverte ancienne;660
9999;Découverte ancienne;661
1934;Découverte ancienne;662
1912;Découverte ancienne;663
1932;Découverte ancienne;664
2003;Diagnostic;665
1921;Découverte ancienne;666
1914;Découverte ancienne;667
1930;Découverte ancienne;668
1882;Découverte ancienne;669
1925;Découverte ancienne;670
1972;Sondage;671
9999;Découverte ancienne;672
2000;Évaluation archéologique;673
1964;Suivi de travaux;674
1994;Diagnostic;675
1965;;676
1865;Découverte ancienne;677
1913;Découverte ancienne;678
1892;Découverte ancienne;679
1938;Découverte ancienne;680
1913;Découverte ancienne;681
1973;Sauvetage urgent;682
1913;Découverte ancienne;683
1972;;684
2019;Diagnostic;685
1974;Découverte ancienne;686
2009;Diagnostic;687
1978;;688
1844;Découverte ancienne;689
1896;Découverte ancienne;690
1844;Découverte ancienne;691
1976;Suivi de travaux;692
1913;Découverte ancienne;693
1964;Découverte ancienne;694
1882;Découverte ancienne;695
1969;Suivi de travaux;696
2017;Diagnostic;697
1973;Sauvetage urgent;698
1889;Découverte ancienne;699
1974;Suivi de travaux;700
1884;Découverte ancienne;701
1995;Diagnostic;702
1910;Découverte ancienne;703
2010;Diagnostic;704
1994;Diagnostic;705
1976;Découverte ancienne;706
1874;Découverte ancienne;707
1983;Sauvetage urgent;708
1832;Découverte ancienne;709
9999;Sauvetage urgent;710
2008;Étude documentaire;711
1903;Découverte ancienne;712
1946;Découverte ancienne;713
1994;Diagnostic;714
2019;Diagnostic;715
1882;Découverte ancienne;716
9999;Découverte ancienne;717
1880;Découverte ancienne;718
1995;Diagnostic;719
1871;Découverte ancienne;720
1895;Découverte ancienne;721
1913;Découverte ancienne;722
1906;Découverte ancienne;723
1997;Fouille;724
1882;Découverte ancienne;725
9999;Découverte ancienne;726
9999;Découverte ancienne;727
2015;Fouille;728
1899;Découverte ancienne;729
2002;Diagnostic;730
1911;Découverte fortuite;731
9999;;732
9999;Découverte ancienne;733
1996;Diagnostic;734
9999;Découverte ancienne;735
9999;" 1999""";736
2001;Diagnostic;737
2015;Découverte fortuite;738
9999;Découverte ancienne;739
2010;Diagnostic;740
1989;Sauvetage urgent;741
2013;Fouille;742
1995;Sondage;743
9999;Découverte ancienne;744
1957;;745
1925;Découverte ancienne;746
1961;Découverte ancienne;747
1989;Suivi de travaux;748
1925;Découverte ancienne;749
2005;Diagnostic;750
9999;Découverte ancienne;751
