653.326.772;6861661.23;"{""coordinates"": [2.363930822585683, 48.85329910005327], ""type"": ""Point""}";"48.8532991001,2.36393082259"
651045.47;6861593.71;"{""coordinates"": [2.332850143869304, 48.85252262274797], ""type"": ""Point""}";"48.8525226227,2.33285014387"
651.639.081;6862558.97;"{""coordinates"": [2.340829656729935, 48.861247915504116], ""type"": ""Point""}";"48.8612479155,2.34082965673"
651.845.837;6861002.89;"{""coordinates"": [2.343823905937566, 48.847269732387154], ""type"": ""Point""}";"48.8472697324,2.34382390594"
650.093.754;6865870.24;"{""coordinates"": [2.3193785044547592, 48.89090734627846], ""type"": ""Point""}";"48.8909073463,2.31937850445"
651.406.857;6859850.24;"{""coordinates"": [2.337974076353137, 48.83687092915098], ""type"": ""Point""}";"48.8368709292,2.33797407635"
652.264.804;6861701.49;"{""coordinates"": [2.349454304534929, 48.853583294394326], ""type"": ""Point""}";"48.8535832944,2.34945430453"
651.988.047;6861373.93;"{""coordinates"": [2.345719759133829, 48.850617066208045], ""type"": ""Point""}";"48.8506170662,2.34571975913"
652.614.152;6861908.37;"{""coordinates"": [2.354192023287518, 48.85546959365278], ""type"": ""Point""}";"48.8554695937,2.35419202329"
651.544.586;6861513.43;"{""coordinates"": [2.339660902492147, 48.85183833814973], ""type"": ""Point""}";"48.8518383381,2.33966090249"
652.391.869;6861650.74;"{""coordinates"": [2.351191577888157, 48.85313638595031], ""type"": ""Point""}";"48.853136386,2.35119157789"
651480.52;6861394.32;"{""coordinates"": [2.338801458226203, 48.85076238606159], ""type"": ""Point""}";"48.8507623861,2.33880145823"
651.113.704;6858277.09;"{""coordinates"": [2.3341611122316, 48.82270124595592], ""type"": ""Point""}";"48.822701246,2.33416111223"
654.384.284;6858102.2;"{""coordinates"": [2.378723752643102, 48.821368188929235], ""type"": ""Point""}";"48.8213681889,2.37872375264"
651.642.324;6860420.53;"{""coordinates"": [2.341117065162826, 48.84201732292698], ""type"": ""Point""}";"48.8420173229,2.34111706516"
653.776.685;6860871.0;"{""coordinates"": [2.370147938820822, 48.846224996863896], ""type"": ""Point""}";"48.8462249969,2.37014793882"
652.467.278;6860760.9;"{""coordinates"": [2.352318680594841, 48.84513960725842], ""type"": ""Point""}";"48.8451396073,2.35231868059"
651.243.363;6861748.31;"{""coordinates"": [2.335529163055538, 48.85392793387465], ""type"": ""Point""}";"48.8539279339,2.33552916306"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
652.722.019;6860022.41;"{""coordinates"": [2.35587171229492, 48.838517131045776], ""type"": ""Point""}";"48.838517131,2.35587171229"
652289.43;6863071.63;"{""coordinates"": [2.3496361063237012, 48.86590669306104], ""type"": ""Point""}";"48.8659066931,2.34963610632"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
651.601.547;6860453.93;"{""coordinates"": [2.34055769615405, 48.84231460128274], ""type"": ""Point""}";"48.8423146013,2.34055769615"
652.534.595;6859861.09;"{""coordinates"": [2.353336309673222, 48.83705253078608], ""type"": ""Point""}";"48.8370525308,2.35333630967"
653.243.277;6861728.46;"{""coordinates"": [2.362785597550201, 48.853897596462815], ""type"": ""Point""}";"48.8538975965,2.36278559755"
651.161.281;6861372.29;"{""coordinates"": [2.334453769102632, 48.850540134321776], ""type"": ""Point""}";"48.8505401343,2.3344537691"
651.886.303;6860904.56;"{""coordinates"": [2.344386418802807, 48.84638842177939], ""type"": ""Point""}";"48.8463884218,2.3443864188"
651.567.525;6860137.62;"{""coordinates"": [2.340130173647329, 48.839467471392595], ""type"": ""Point""}";"48.8394674714,2.34013017365"
651.380.215;6862735.18;"{""coordinates"": [2.337281261794256, 48.862813086390055], ""type"": ""Point""}";"48.8628130864,2.33728126179"
651.997.233;6861653.04;"{""coordinates"": [2.345813424665206, 48.8531277337932], ""type"": ""Point""}";"48.8531277338,2.34581342467"
651682.1;6861193.81;"{""coordinates"": [2.341571142934774, 48.84897438490841], ""type"": ""Point""}";"48.8489743849,2.34157114293"
650.967.945;6862499.58;"{""coordinates"": [2.331689205867785, 48.86066304218362], ""type"": ""Point""}";"48.8606630422,2.33168920587"
652.855.774;6862809.44;"{""coordinates"": [2.357384934945852, 48.86359054115111], ""type"": ""Point""}";"48.8635905412,2.35738493495"
651.940.409;6861271.38;"{""coordinates"": [2.345082195960634, 48.84969123343739], ""type"": ""Point""}";"48.8496912334,2.34508219596"
650.738.905;6864102.53;"{""coordinates"": [2.328381694619215, 48.87506061892695], ""type"": ""Point""}";"48.8750606189,2.32838169462"
652.427.048;6861622.34;"{""coordinates"": [2.351674157029136, 48.852883585141136], ""type"": ""Point""}";"48.8528835851,2.35167415703"
